keywords,sexo,n
_Alteração,masculino,1
_Composição,masculino,1
abandono,masculino,3
abandono de incapaz.,NA,1
abastecimento de água,feminino,1
abastecimento de água,masculino,8
Abastecimento e Desenvolvimento Rural (CAPADR),masculino,1
abertura,feminino,2
abertura,masculino,2
abolicionista,masculino,5
abono de fronteira unificado,NA,1
Abono de permanência em serviço,masculino,1
aborto espontâneo,feminino,1
aborto espontâneo.,masculino,1
aborto espontâneo.  _ Alteração,masculino,1
aborto legal,masculino,2
abril,masculino,5
abril,NA,1
Abril Marrom,NA,1
abuso,feminino,1
abuso,masculino,1
abuso de autoridade.,masculino,1
abuso de incapazes,masculino,1
abuso de poder.   _ Alteração,masculino,1
abuso sexual,feminino,1
abuso sexual,masculino,2
Abuso sexual,masculino,1
academia de ginástica,masculino,3
Academia de ginástica,masculino,1
Academia de ginástica.,masculino,1
academia-parceira,masculino,1
ação  coletiva.,masculino,1
ação cível,masculino,2
ação civil pública,feminino,1
ação civil pública,masculino,12
ação coletiva,masculino,1
Ação Declaratória de Constitucionalidade,masculino,1
Ação Declaratória de Constitucionalidade.,masculino,2
Ação direta de inconstitucionalidade,masculino,2
Ação Direta de Inconstitucionalidade,masculino,2
Ação Direta de Inconstitucionalidade por Omissão,masculino,2
ação judicial,masculino,2
ação judicial,NA,1
ação penal,masculino,12
ação penal pública,masculino,11
ação possessória,masculino,2
acessibilidade,masculino,3
Acessibilidade,masculino,1
acesso,feminino,1
acesso,masculino,13
acesso à informação.,masculino,1
acesso à justiça,masculino,2
acesso à justiça.,masculino,1
acesso iirrestrito,feminino,1
Acesso remoto,masculino,1
Acessório para telefone celular,masculino,1
acidente,feminino,1
acidente,masculino,5
acidente,NA,1
acidente de trânsito,masculino,4
acidente de trânsito,NA,1
acidente.,feminino,1
acionista,masculino,1
ações,masculino,1
ações de classe especial,feminino,1
ações de classe especial,masculino,1
ações ordinárias,masculino,1
acolhimento familiar,masculino,1
acolhimento institucional,masculino,2
acompanhamento,masculino,4
acompanhamento,NA,1
acompanhamento.,masculino,1
Acompanhante de menor de idade,masculino,1
acompanhante de pessoa com deficiência,masculino,1
Acordo (processo civil),masculino,1
acordo extrajudicial,masculino,1
acostamento,masculino,2
acréscimo,masculino,2
açúcar,masculino,1
acumulação,masculino,4
acusação,feminino,1
acusado,masculino,2
adaptação,masculino,5
adaptador de tomada universal,masculino,1
adequação,masculino,1
adesão,masculino,2
adesivo automotivo,masculino,1
adiamento,masculino,2
adiantamento,masculino,1
adicional,masculino,1
adicional de insalubridade,masculino,3
adicional de periculosidade.,masculino,2
adjudicação,masculino,1
administração,masculino,3
administração direta,masculino,2
Administração Direta,masculino,1
administração federal,masculino,3
administração indireta,masculino,2
Administração Indireta,masculino,1
administração municipal.,masculino,1
administração pública,masculino,4
Administração pública,masculino,3
Administração Pública,feminino,1
Administração Pública,masculino,4
Administração Pública,NA,1
administração pública.,masculino,2
Administração pública.,masculino,1
administrador judicial,masculino,1
Admissão,masculino,1
admissão no emprego,masculino,2
adoção,feminino,1
adoção,masculino,6
adoção (direito civil),feminino,1
adoção (direito civil),masculino,4
adoção (direito civil) .,masculino,1
adoção internacional,masculino,1
adolescente,feminino,8
adolescente,masculino,39
adolescente,NA,2
adolescente em conflito com a lei,masculino,1
Adolescente em conflito com a lei.,masculino,1
adolescente.,feminino,2
adolescente.,masculino,5
adolescente.,NA,1
adotando,masculino,1
adotante.,masculino,1
adulteração,masculino,1
Adulteração de sinal identificador de veículo automotor.,masculino,1
advertência,masculino,2
advertência,NA,1
advocacia,masculino,2
Advocacia-Geral da União (AGU),masculino,1
advocacia.,masculino,1
advogada,masculino,2
advogado,masculino,7
Advogado-Geral da União,masculino,1
advogado.,masculino,1
aeromodelo,masculino,1
aeronáutica,masculino,1
aeronave,masculino,2
aeronave civil,masculino,1
Aeronave Remotamente Pilotada (ARP),masculino,2
aeronave.,masculino,1
aeroporto,masculino,3
Aeroporto,masculino,1
aeroporto.,masculino,3
aeroporto. __ Monitoração eletrônica,masculino,1
afastamento,feminino,1
afastamento,masculino,2
aferição,masculino,1
afixação,masculino,1
afroempreendedorismo,feminino,1
agasalho,masculino,1
agência,masculino,3
agência bancária,masculino,1
Agência Nacional de Aviação Civil (ANAC).,masculino,1
Agência Nacional de Energia Elétrica (ANEEL),masculino,1
Agência Nacional de Energia Elétrica (ANEEL),NA,1
Agência Nacional de Mineração (ANM),feminino,1
Agência Nacional de Saúde Suplementar (ANS).,feminino,1
Agência Nacional de Transportes Terrestres (ANTT),masculino,1
Agência Nacional de Vigilância Sanitária (Anvisa),masculino,1
Agência Nacional de Vigilância Sanitária (Anvisa).,feminino,1
Agência Nacional do Petróleo,masculino,1
agente comunitário de saúde,masculino,1
Agente de combate às endemias.,masculino,1
Agente de Farmácia e Drogaria,NA,1
agente de polícia,masculino,11
Agente de Polícia Penal Federal.,masculino,1
Agente de Proteção da Infância e da Juventude,masculino,1
agente de saúde pública.,masculino,1
agente de trânsito,masculino,2
agente econômico,masculino,1
agente financeiro,masculino,2
Agente Municipal de Trânsito.,masculino,1
agente penitenciário,masculino,3
Agente penitenciário,masculino,1
Agente Penitenciário Federal,masculino,1
agente policial,masculino,1
agente político,NA,1
agente público,masculino,8
agente público,NA,2
agente público.,masculino,3
agente socioeducativo,masculino,1
agente socioeducativo.,masculino,1
agentes nocivos,masculino,1
aglomeração urbana,masculino,1
agosto,masculino,1
agosto.,masculino,1
agravação penal,feminino,3
agravação penal,masculino,11
agravação penal,NA,1
agravação penal.,masculino,2
agravação penal.   _ Conduta,feminino,1
agressão,masculino,1
agressor,feminino,1
agressor,masculino,3
agressor,NA,1
agricultor,feminino,1
agricultor familiar,masculino,1
agricultor familiar.,masculino,3
agricultura familiar,masculino,3
agricultura familiar.,masculino,1
agroindústria.,masculino,1
agronegócio,masculino,1
agropecuária.,masculino,2
agrotóxico,masculino,3
água,masculino,3
água do mar,masculino,1
água pluvial,masculino,1
aids,masculino,1
airsoft,masculino,1
ajuizamento,masculino,1
Alagoas,masculino,1
Alcântara (MA),masculino,1
álcool,masculino,1
alfabetização,masculino,2
alho,masculino,1
aliciamento de pessoas,masculino,1
alienação,feminino,1
alienação,masculino,1
alienação de bens,masculino,1
