keywords,siglaTipo,sexo
Proibição,PL,masculino
 exportação,PL,masculino
 gado,PL,masculino
 animal vivo,PL,masculino
 transporte marítimo.,PL,masculino
Título de capital nacional,PL,masculino
 Capital Nacional da Linguiça Artesanal,PL,masculino
 Bragança Paulista (SP),PL,masculino
 São Paulo (Estado).,PL,masculino
Alteração,PL,masculino
 Consolidação das Leis do Trabalho (CLT),PL,masculino
 justiça gratuita,PL,masculino
 honorários periciais,PL,masculino
 honorários de sucumbência,PL,masculino
 litigância de má-fé,PL,masculino
 processo trabalhista,PL,masculino
 reclamação trabalhista,PL,masculino
 dissídio trabalhista,PL,masculino
 trabalhador,PL,masculino
 acesso à justiça.,PL,masculino
Alteração,PL,masculino
 Consolidação das Leis do Trabalho (CLT),PL,masculino
 trabalho a distância,PL,masculino
 jornada de trabalho,PL,masculino
 dano extrapatrimonial,PL,masculino
 relações trabalhistas,PL,masculino
 dano moral reflexo,PL,masculino
 revogação,PL,masculino
 dispositivo legal,PL,masculino
 data,PL,masculino
 auxílio-doença,PL,masculino
 trabalho intermitente,PL,masculino
 cláusula compromissória arbitral,PL,masculino
 débito trabalhista.,PL,masculino
Obrigatoriedade,PL,masculino
 Escola,PL,masculino
 capacitação,PL,masculino
 corpo docente,PL,masculino
 profissional de educação,PL,masculino
 primeiros socorros,PL,masculino
 acidente,PL,masculino
 criança,PL,masculino
 adolescente.,PL,masculino
Obrigatoriedade,PL,NA
 Escola,PL,NA
 capacitação,PL,NA
 corpo docente,PL,NA
 profissional de educação,PL,NA
 primeiros socorros,PL,NA
 acidente,PL,NA
 criança,PL,NA
 adolescente.,PL,NA
Alteração,PL,masculino
 Lei dos Direitos Autorais (1998),PL,masculino
 isenção,PL,masculino
 pagamento,PL,masculino
 Direito Autoral,PL,masculino
 Radiodifusão comunitária,PL,masculino
 rádio,PL,masculino
 webcasting,PL,masculino
 difusão,PL,masculino
 obra musical.,PL,masculino
Concessão,PL,masculino
 Título de Capital Nacional,PL,masculino
 Capital Nacional dos Atiradores,PL,masculino
 Jaraguá do Sul (SC),PL,masculino
 Santa Catarina.,PL,masculino
Alteração,PL,masculino
 Lei do Cheque,PL,masculino
 sustação,PL,masculino
 pagamento,PL,masculino
 cheque pré-datado,PL,masculino
 inexecução,PL,masculino
 prestação de serviços.,PL,masculino
Alteração,PL,masculino
 Código de Trânsito Brasileiro,PL,masculino
 definição,PL,masculino
 veículo de coleção,PL,masculino
 customização.,PL,masculino
Criação,PL,masculino
 Dia Nacional do Morganti Ju-Jitsu,PL,masculino
 comemoração,PL,masculino
 abril,PL,masculino
 arte marcial,PL,masculino
 esporte.,PL,masculino
Diretrizes,PL,masculino
 Política Pública,PL,masculino
 Política Cultural,PL,masculino
 Sistema Nacional de Cultura,PL,masculino
 Plano Nacional de Cultura,PL,masculino
 direitos culturais.,PL,masculino
Alteração,PL,masculino
 lei federal,PL,masculino
 Sistema Nacional de Informações de Segurança Pública,PL,masculino
 Prisionais e sobre Drogas (SINESP),PL,masculino
 registro,PL,masculino
 informação,PL,masculino
 aparição,PL,masculino
 localização,PL,masculino
 pessoa desaparecida,PL,masculino
 recuperação,PL,masculino
 bens,PL,masculino
 veículo.,PL,masculino
Pagamento,PL,masculino
 férias,PL,masculino
 licença-prêmio,PL,masculino
 ressarcimento,PL,masculino
 despesa,PL,masculino
 agente público,PL,masculino
 transparência pública.,PL,masculino
Alteração,PL,masculino
 Código Eleitoral (1965),PL,masculino
 agente penitenciário,PL,masculino
 agente socioeducativo,PL,masculino
 voto em trânsito.,PL,masculino
Alteração,PL,masculino
 lei federal,PL,masculino
 obrigatoriedade,PL,masculino
 meta,PL,masculino
 Programa de Aquisição de Alimentos (PAA),PL,masculino
 Lei de Diretrizes Orçamentárias (LDO),PL,masculino
 descumprimento,PL,masculino
 penalidade,PL,masculino
 Grupo Gestor do Programa de Aquisição de Alimentos (GGPAA).,PL,masculino
Alteração,PL,masculino
 Lei de Controle Sanitário de Medicamentos,PL,masculino
 autorização,PL,masculino
 comercialização,PL,masculino
 medicamento,PL,masculino
 isenção,PL,masculino
 receita médica,PL,masculino
 supermercado,PL,masculino
 estabelecimento comercial.,PL,masculino
Concessão,PL,masculino
 Título de Capital Nacional,PL,masculino
 Capital Nacional do Café Conilon,PL,masculino
 São Gabriel da Palha (ES),PL,masculino
 Espírito Santo.,PL,masculino
Alteração,PL,feminino
 Lei das Bibliotecas,PL,feminino
 definição,PL,feminino
 biblioteca escolar,PL,feminino
 criação,PL,feminino
 Sistema Nacional de Bibliotecas Escolares (SNBE),PL,feminino
 universalização,PL,feminino
 biblioteca.,PL,feminino
Alteração,PL,masculino
 Código Penal,PL,masculino
 crime contra a liberdade sexual,PL,masculino
 tipicidade penal,PL,masculino
 exibição,PL,masculino
 divulgação,PL,masculino
 publicação,PL,masculino
